SAP_FLUX,SAP_BKG,PDCSAP_FLUX,MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,RESULT
2802598.14493,10094.2731733,2779051.33803,17.8011985305,67.094150746,-0.483154347872,-1.76604718708,0
2852229.01422,12714.8470344,2592419.20852,15.2063646983,70.6234994107,-0.0738180664218,-0.340946703856,0
2926436.88119,10669.7997497,2888786.64177,14.8118191351,63.5951882056,-0.0298162076871,-0.0683768313144,0
2573746.20838,7911.17353477,2542780.68383,18.8874064106,61.0797862678,-1.08041489348,-3.33293052644,0
2692372.05962,9733.92462735,2683459.01417,17.1944666592,64.8089372125,-0.970743620862,-3.5536840023,0
2484321.92101,11211.3080542,2473043.39852,13.3146713448,61.7820919025,-0.00974120656933,-0.0960092951906,0
186284.426142,3675.74899677,196514.784762,46.6636800566,81.1849039827,-0.000151396850397,-0.00155240493077,0
52238.5680557,1639.39879191,63806.3333279,38.0597154896,64.753253908,-0.000169697933188,-0.00156178609919,0
249316.892102,5100.06054277,255591.960872,41.5168844234,53.3842875746,-0.000169908356855,-0.00156896167336,0
247737.398681,4803.03612417,255357.128146,41.4374688985,53.336020634,-0.00146561511527,-0.00427594944817,0
202598.623256,3135.55601126,217773.64468,44.4434173734,52.1339310432,-1.20462254899,-1.40944626938,0
229086.72441,5695.16640994,234589.477342,42.9758865762,55.8091186921,0.0145350801373,0.0251354359192,0
225582.100544,4253.38886071,236072.573456,39.7205729984,57.4805378028,-1.91562115076,-2.7861133318,0
242222.405657,5257.67830916,248707.77603,40.6019416341,52.1848308309,-0.0329616890183,-0.048810235712,0
209779.484361,3580.91661171,222464.141517,46.1045214545,54.0707428094,-0.00184377315069,0.00524811432646,0
230774.995996,5736.14822768,236486.710114,43.8424696566,56.9326202679,0.0112743747416,0.0236727927561,0
226982.316851,4447.01884194,237526.544816,40.2446007297,58.2420055767,-1.79968140051,-2.59958093033,0
241962.676663,5369.3216479,249266.084148,40.9009224058,52.6289117498,-0.0890452404376,-0.125282348033,0
207868.997226,3595.95616952,220525.4888,46.0952592478,54.0637990302,-0.0473588748726,-0.0424903486629,0
224599.832141,5700.16571972,228108.158649,43.0948298103,55.9674252254,-1.14997855602,-1.47289205978,0
