MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,SAP_FLUX,SAP_BKG,PDCSAP_FLUX,RESULT
2.189163602224143E8,2.1904242417857668E8,2.1886255968826E8,2.1886765024687287E8,1.0561225369E10,2.4252071783000007E8,1.0542648847E10,0
2.1891136918647936E8,2.1905349446591076E8,2.188600510779924E8,2.1886012076458552E8,1.1143329239E10,2.487939189799996E8,1.1143513683E10,0
2.1890281258667514E8,2.190573937544904E8,2.188635561963259E8,2.1887499959986523E8,1.1053180885E10,2.532175751999996E8,1.1037244499E10,0
2.1890709342158383E8,2.1906124128588733E8,2.1886017916168955E8,2.188603651138746E8,1.232551779E10,2.4913192596000096E8,1.2322665452E10,0
2.189194647088118E8,2.190523468157304E8,2.1886021492436913E8,2.188603067143476E8,1.0960140214E10,2.442458297200001E8,1.0954398154E10,0
2.189127486066977E8,2.1905875002490398E8,2.1886005287652668E8,2.1886012839425573E8,1.1293166897E10,2.490735957299997E8,1.1300722627E10,0
2.1888686998098016E8,2.189838507969757E8,2.1886247906042463E8,2.1887035469998407E8,8.303485372E9,2.4194317059999982E8,8.291619286E9,0
2.1890953728889406E8,2.1907233716723073E8,2.1886028733619648E8,2.1886075264873058E8,1.2696291724E10,2.5204640406999952E8,1.2695824168E10,0
2.1892306093323076E8,2.1906398748821414E8,2.1886031751634207E8,2.188606352888486E8,1.1320113839E10,2.4584164641999987E8,1.1315153111E10,0
2.189181370629429E8,2.1907910900790933E8,2.188623924977259E8,2.188686813497187E8,1.1963775137E10,2.5251573839000088E8,1.1873917951E10,0
2.1889933365235192E8,2.1904220872423792E8,2.1886053576396197E8,2.1886173636450455E8,1.0365357774E10,2.5277432140000013E8,9.421680352E9,0
2.1890402564222017E8,2.190487433247953E8,2.1886017594882244E8,2.1886036567695752E8,1.1632814747E10,2.4888479340000015E8,1.1492161421E10,0
2.189204504353616E8,2.1905558415377167E8,2.18865306544088E8,2.1887616144050458E8,1.0928770849E10,2.4402005267000026E8,1.0802027937E10,0
2.1891562842516163E8,2.1906965818544197E8,2.1886474731753302E8,2.1887728369675133E8,1.1549544301E10,2.5114833431000054E8,1.1517068247E10,0
2.189034805911431E8,2.1906146486425233E8,2.188603026242328E8,2.1886076768614548E8,9.364547351E9,2.562475659000002E8,9.326041789E9,0
2.188268188906105E8,2.1880223895725265E8,2.1886004189403298E8,2.1886004178675315E8,8.6120802E7,2.1622020913E8,7.7166383E7,0
2.1883294494012988E8,2.1881393845650804E8,2.1886004187116742E8,2.188600417786382E8,1.8162725430000055E8,2.1768267007999992E8,1.7298198060000047E8,0
2.188304836263107E8,2.1882203266911212E8,2.1886004187513584E8,2.1886004178272933E8,4.0777245E7,2.1519713766999978E8,3.4645741E7,0
2.188683063493044E8,2.1887067135531032E8,2.1886005078953862E8,2.188600588420567E8,9.4739691E7,2.1975556727000037E8,8.2250949E7,0
2.189887452776575E8,2.1901098749855983E8,2.1886543608108905E8,2.1886638627206314E8,4.19918801E8,2.2794050709000027E8,3.53642008E8,0
2.1898428824570265E8,2.1902142030436435E8,2.18860049954399E8,2.1886012143874452E8,3.03359008E8,2.3572920567000017E8,2.79257201E8,0
2.1897462298085323E8,2.190258876155434E8,2.188687797967955E8,2.1887270599836525E8,2.94098194E8,2.3154715112E8,2.47971624E8,0
2.1898909548498392E8,2.190258791755087E8,2.1886020549877667E8,2.188603523768869E8,2.77017997E8,2.3468272731000072E8,2.46974173E8,0
2.1899577417605886E8,2.1901919161372456E8,2.1886021320691365E8,2.188603061640595E8,4.10422519E8,2.293926789100005E8,3.54726033E8,0
2.189876656968667E8,2.190258027515941E8,2.188600519190683E8,2.1886012874921384E8,3.15570894E8,2.3591737737000012E8,2.90582128E8,0
2.1893191865542698E8,2.189640843011297E8,2.1886610034121993E8,2.188687630458997E8,2.18810746E8,2.2699769602000022E8,1.84422171E8,0
2.1899604657090652E8,2.190350112097237E8,2.188604697197535E8,2.1886067050638157E8,2.95927493E8,2.3577567640000114E8,2.6112774E8,0
2.190039809676117E8,2.1902882560536167E8,2.188604229936438E8,2.188605855892375E8,4.36985199E8,2.3005434899999985E8,3.7914333E8,0
2.1900072839682546E8,2.1904278830005252E8,2.1886556340198168E8,2.1886728835185403E8,3.52050512E8,2.3787223204000047E8,3.31677582E8,0
2.1896562885663772E8,2.1901317342907375E8,2.188610185777753E8,2.1886152702444398E8,2.98441981E8,2.3081637970000008E8,2.88237998E8,0
2.1898091502090776E8,2.190155614631312E8,2.188602278345818E8,2.1886034232342932E8,2.87657038E8,2.3386849818999904E8,2.68669151E8,0
2.1899804556468892E8,2.1902186910652155E8,2.1887148700810748E8,2.1887344574432603E8,4.49657246E8,2.295102067900003E8,3.92027791E8,0
2.1899463711379322E8,2.1903488748137295E8,2.188711167642959E8,2.1887448514523712E8,3.55049895E8,2.364493062499998E8,3.27379856E8,0
2.1897677333901396E8,2.1902934071867147E8,2.1886046275966743E8,2.1886069832110646E8,3.29546006E8,2.3336238240999946E8,3.03790144E8,0
2.1887457098219392E8,2.1886917004605132E8,2.1886005080003226E8,2.1886005803286228E8,2.2048217163000005E8,2.190010686970001E8,2.210269109000009E8,0
2.1907479379037467E8,2.1899065593514043E8,2.1886888214021742E8,2.1886562414346814E8,2.3572257709999982E8,2.2074761545400038E8,2.4378233357999974E8,0
2.1907091330637288E8,2.190008971630283E8,2.1886004892413497E8,2.1886012260970324E8,2.4107152123000053E8,2.2241808856000113E8,2.4676594667000055E8,0
2.1906010958011276E8,2.1900592568025962E8,2.188750395195601E8,2.1887132365657714E8,2.4152835219000077E8,2.227888240600001E8,2.4601213585999915E8,0
2.190862337944964E8,2.190023587972726E8,2.1886023715781868E8,2.1886034339352694E8,2.4556240219999936E8,2.2125333879800057E8,2.5297682659999913E8,0
